node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.40798572058297033
51, 1, 49, 0.5364618835429616
4, 1, 2, 0.5429836975427192
27, 1, 25, 0.6487510011194775
95, 9, 16, 0.7872421839530385
117, 95, 29, 1.0766094081717108
99, 9, 18, 1.0865014331478358
168, 117, 48, 1.3859068537550818
231, 168, 13, 1.5673266610406418
195, 117, 15, 1.580947798503406
251, 231, 29, 1.595415645942183
248, 231, 6, 1.7394850980658156
293, 117, 36, 1.9503305174158927
388, 231, 1, 2.2435136904433333
380, 251, 18, 2.4559440899711893
434, 380, 13, 2.6829022871160833
420, 251, 54, 2.7567906932961415
432, 380, 28, 2.7793078520566135
446, 434, 59, 3.650802884778459
513, 434, 39, 3.874206980766499
584, 446, 49, 4.324460282256218
567, 446, 11, 4.494499231507468
606, 584, 48, 4.510789412864834
603, 446, 5, 4.524820824466193
600, 446, 53, 4.541035380836687
546, 446, 59, 4.5515088590628805
602, 446, 26, 4.635390696191555
650, 606, 13, 5.323396094608682
672, 606, 33, 5.369722958425686
724, 606, 4, 5.656775365956319
701, 606, 35, 5.787598568175211
