node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.5330185915527988
51, 1, 49, 0.6449445359085106
4, 1, 2, 0.6618395042222056
95, 9, 16, 0.7400813634346708
27, 1, 25, 0.8352693321368299
99, 9, 18, 1.2026172447393628
117, 95, 29, 1.2692220067396502
168, 117, 48, 1.4984642539313522
231, 168, 13, 1.6815919092728455
195, 117, 15, 1.6919502893918534
251, 231, 29, 1.7837140447841868
248, 231, 6, 1.8520211416909684
293, 117, 36, 2.066142043705569
388, 231, 1, 2.3552947921714917
380, 251, 18, 2.5694017811498777
432, 380, 28, 2.7229904703369843
434, 380, 13, 2.7990646187824284
420, 251, 54, 2.851961792637696
446, 434, 59, 3.7599623710686005
513, 434, 39, 3.9868985710937337
567, 446, 11, 4.271175810219042
600, 446, 53, 4.361264484313692
584, 446, 49, 4.410558983262499
603, 446, 5, 4.468894238717713
602, 446, 26, 4.5141202773196145
546, 446, 59, 4.6156933559789115
606, 584, 48, 4.618085207382186
672, 606, 33, 5.403634650390214
650, 606, 13, 5.434080043467269
701, 606, 35, 5.565276351255425
724, 606, 4, 5.689927588651502
