node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.6070804644496985
51, 1, 49, 0.6522559510791683
4, 1, 2, 0.804884810489322
27, 1, 25, 0.9795577938773792
95, 9, 16, 1.043105091162801
99, 9, 18, 1.3453869984590912
117, 95, 29, 1.4072847414163907
168, 117, 48, 1.6441783904977723
231, 168, 13, 1.8253616965249035
195, 117, 15, 1.8373099658944683
251, 231, 29, 1.9249084288639566
248, 231, 6, 1.9967478378200452
293, 117, 36, 2.206625546667953
388, 231, 1, 2.497866127976292
380, 251, 18, 2.7128191351312654
434, 380, 13, 2.9368111648159654
420, 251, 54, 2.95267196149336
432, 380, 28, 2.9567613229494465
446, 434, 59, 3.9068418682139026
513, 434, 39, 4.130881165558726
584, 446, 49, 4.479096625540699
600, 446, 53, 4.5702053188566545
567, 446, 11, 4.670466560311964
603, 446, 5, 4.700773991011031
606, 584, 48, 4.761083750794767
546, 446, 59, 4.809296244440083
602, 446, 26, 4.813393399015779
672, 606, 33, 5.5452412375423314
650, 606, 13, 5.579372922586873
701, 606, 35, 5.801397830783249
724, 606, 4, 5.850867128497055
