node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.38932678239929797
4, 1, 2, 0.542206761359611
51, 1, 49, 0.6150069350146004
27, 1, 25, 0.7347528278546631
95, 9, 16, 0.7870464117933396
99, 9, 18, 1.0050503423746298
117, 95, 29, 1.1491123444364262
168, 117, 48, 1.4578309524332382
231, 168, 13, 1.557050564519183
248, 231, 6, 1.6361773784431728
195, 117, 15, 1.662028706053558
251, 231, 29, 1.665128550915943
293, 117, 36, 1.850154789221262
388, 231, 1, 2.310120478155009
380, 251, 18, 2.3683358905195644
434, 380, 13, 2.6420444238291925
420, 251, 54, 2.7851341538507493
432, 380, 28, 2.807756886202121
446, 434, 59, 3.6093221444596675
513, 434, 39, 3.883749359884344
584, 446, 49, 4.386228936038093
567, 446, 11, 4.501619570998443
600, 446, 53, 4.554396592929742
546, 446, 59, 4.570959848876121
603, 446, 5, 4.573797359543105
606, 584, 48, 4.624106828908143
602, 446, 26, 4.62876628490507
650, 606, 13, 5.3107195268193195
672, 606, 33, 5.4055425551768215
724, 606, 4, 5.66934053769939
701, 606, 35, 5.791496344202063
