node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.546799827276462
51, 1, 49, 0.7611629851712274
4, 1, 2, 0.7745971939352259
27, 1, 25, 0.9476887277326079
95, 9, 16, 0.9753518393219932
99, 9, 18, 1.1775613744693292
117, 95, 29, 1.3773029400612247
168, 117, 48, 1.612341943730952
231, 168, 13, 1.6951154380858577
195, 117, 15, 1.8056282092352511
251, 231, 29, 1.894434611666751
248, 231, 6, 1.9646431896276573
293, 117, 36, 2.0000891862140615
388, 231, 1, 2.4674320670309777
380, 251, 18, 2.5271586697630575
420, 251, 54, 2.759482261062502
434, 380, 13, 2.8089613780991662
432, 380, 28, 2.9252313085652006
446, 434, 59, 3.641979833558169
513, 434, 39, 4.054638808875362
584, 446, 49, 4.525819222821607
546, 446, 59, 4.540385796209534
567, 446, 11, 4.641199694946136
602, 446, 26, 4.657229009584547
603, 446, 5, 4.670617445071528
600, 446, 53, 4.688236196338073
606, 584, 48, 4.729978610805471
672, 606, 33, 5.439275992459742
650, 606, 13, 5.452458200700566
724, 606, 4, 5.625294753754182
701, 606, 35, 5.935171833721923
