node, prevNode, creator, time
1, 0, 0, 0
4, 1, 2, 0.5969271580904995
9, 1, 7, 0.7747676519587254
51, 1, 49, 1.0446219519295636
27, 1, 25, 1.201362184260982
95, 9, 16, 1.214145129305557
99, 9, 18, 1.5276755466885836
117, 95, 29, 1.5972619194208257
168, 117, 48, 1.898952203167158
231, 168, 13, 1.9193885724158597
195, 117, 15, 2.0186569588153995
251, 231, 29, 2.1156621832909686
248, 231, 6, 2.2162455610905405
293, 117, 36, 2.2444336054805465
388, 231, 1, 2.6872499691898244
380, 251, 18, 2.8922613783676514
434, 380, 13, 3.03075135453752
420, 251, 54, 3.1419410047342713
432, 380, 28, 3.303363819809121
446, 434, 59, 3.9435436380269255
513, 434, 39, 4.0924797725188515
546, 446, 59, 4.784740389015443
584, 446, 49, 4.835766550907301
602, 446, 26, 5.004556243301762
567, 446, 11, 5.013741558340691
606, 584, 48, 5.027644785144155
603, 446, 5, 5.039531664597971
600, 446, 53, 5.076340370182499
650, 606, 13, 5.671697326183939
672, 606, 33, 5.875884062809625
