176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 978.0694757753545
2, 1, 0, 978.4976430428077
23, 5, 5, 1464.8141559995518
35, 23, 6, 1962.5085015657478
40, 23, 0, 1962.9640645326128
47, 40, 0, 2294.4070612005676
66, 47, 6, 2989.2600543125236
81, 66, 9, 3670.9621731319235
89, 66, 0, 3671.6457358797347
92, 89, 0, 3671.765653176439
117, 92, 2, 3806.0756520644836
129, 117, 11, 5252.082187033871
133, 117, 0, 5252.864651290349
137, 133, 0, 5252.985793648664
156, 137, 14, 5281.362631909111
176, 156, 5, 5881.819470270051
