176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 977.7147514801933
2, 1, 0, 978.204621278716
23, 5, 5, 1464.4602073507713
35, 23, 6, 1962.1796141397551
40, 23, 0, 1962.6683158808846
47, 40, 0, 2294.1149797640596
66, 47, 6, 2988.9327269425694
81, 66, 9, 3670.862706694122
89, 66, 0, 3671.352074111502
92, 89, 0, 3671.4117784225286
117, 92, 2, 3805.924544971557
129, 117, 11, 5252.142001889985
133, 117, 0, 5252.570859681291
137, 133, 0, 5252.630728810676
156, 137, 14, 5281.223358359611
176, 156, 5, 5881.463200579418
