176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 977.9975006333794
2, 1, 0, 978.3643500078372
23, 5, 5, 1464.3410013256498
35, 23, 6, 1962.3393127399975
40, 23, 0, 1962.8284108742612
47, 40, 0, 2294.2732746722654
66, 47, 6, 2989.0921869321123
81, 66, 9, 3671.0229514203247
89, 66, 0, 3671.5119705649536
92, 89, 0, 3671.6279045055057
117, 92, 2, 3806.0844007150786
129, 117, 11, 5252.419962484796
133, 117, 0, 5252.73076192875
137, 133, 0, 5252.846607445236
156, 137, 14, 5281.382716090892
176, 156, 5, 5881.34530074584
