176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 977.8990242697802
2, 1, 0, 978.3889282627009
23, 5, 5, 1464.5274231290896
35, 23, 6, 1962.1196606079004
40, 23, 0, 1962.8523106841228
47, 40, 0, 2294.299701571085
66, 47, 6, 2988.872542588396
81, 66, 9, 3670.8025370967666
89, 66, 0, 3671.537644312455
92, 89, 0, 3671.5960656673915
117, 92, 2, 3805.8646539385118
129, 117, 11, 5252.300636545009
133, 117, 0, 5252.757034560895
137, 133, 0, 5252.81796628071
156, 137, 14, 5281.162891276221
176, 156, 5, 5881.529343320539
