176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 977.899452925005
2, 1, 0, 978.3916547691931
23, 5, 5, 1464.5280383683978
35, 23, 6, 1962.1203997842247
40, 23, 0, 1962.8532435148882
47, 40, 0, 2294.300095127343
66, 47, 6, 2988.8731230279577
81, 66, 9, 3670.8066563889975
89, 66, 0, 3671.5393459165157
92, 89, 0, 3671.596380500921
117, 92, 2, 3805.688590116801
129, 117, 11, 5252.116205071673
133, 117, 0, 5252.757885369145
137, 133, 0, 5252.818444064444
156, 137, 14, 5280.975113081399
176, 156, 5, 5881.530146483511
