176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 978.0231107379233
2, 1, 0, 978.477813110504
23, 5, 5, 1464.6013577723934
35, 23, 6, 1962.1949705783788
40, 23, 0, 1962.931439355519
47, 40, 0, 2294.386143485694
66, 47, 6, 2988.9586390964832
81, 66, 9, 3670.5861048169954
89, 66, 0, 3671.6368508164983
92, 89, 0, 3671.6755654089898
117, 92, 2, 3805.955351593055
129, 117, 11, 5252.158292139941
133, 117, 0, 5252.838232980846
137, 133, 0, 5252.89479169803
156, 137, 14, 5281.274572329878
176, 156, 5, 5881.6737762933935
