176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 977.7774884388864
2, 1, 0, 978.2018850785634
23, 5, 5, 1464.3990284285567
35, 23, 6, 1962.2379296251531
40, 23, 0, 1962.6678942879714
47, 40, 0, 2294.111404136212
66, 47, 6, 2988.990781443925
81, 66, 9, 3670.9223688779207
89, 66, 0, 3671.3502038788138
92, 89, 0, 3671.4080379571524
117, 92, 2, 3805.982216310507
129, 117, 11, 5252.200382171713
133, 117, 0, 5252.568978857386
137, 133, 0, 5252.626967162866
156, 137, 14, 5281.281428654466
176, 156, 5, 5881.402938145241
