176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 978.2933266570836
2, 1, 0, 978.5046158439847
23, 5, 5, 1464.7011876339357
35, 23, 6, 1962.518793131374
40, 23, 0, 1962.969856506569
47, 40, 0, 2294.415290256544
66, 47, 6, 2989.26669866017
81, 66, 9, 3670.9562690900098
89, 66, 0, 3671.6525654483994
92, 89, 0, 3671.988237879321
117, 92, 2, 3806.0824165931845
129, 117, 11, 5252.442577726366
133, 117, 0, 5252.871849583958
137, 133, 0, 5253.206912212192
156, 137, 14, 5281.370356369161
176, 156, 5, 5881.705813153875
