176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 978.1876117210217
2, 1, 0, 978.6759887881711
23, 5, 5, 1464.8138045594283
35, 23, 6, 1962.6528715345632
40, 23, 0, 1963.1407595228884
47, 40, 0, 2294.584828621856
66, 47, 6, 2989.4061869561615
81, 66, 9, 3671.0813229485293
89, 66, 0, 3671.8236762035403
92, 89, 0, 3671.8810854066687
117, 92, 2, 3806.154364787708
129, 117, 11, 5252.5553070353635
133, 117, 0, 5253.041898128893
137, 133, 0, 5253.100753785385
156, 137, 14, 5281.69642135055
176, 156, 5, 5881.818771096982
