176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 978.1878565533515
2, 1, 0, 978.626499086979
23, 5, 5, 1464.8165570520368
35, 23, 6, 1962.5306292216685
40, 23, 0, 1963.0814505133503
47, 40, 0, 2294.5449493108413
66, 47, 6, 2989.3120280156613
81, 66, 9, 3671.218844142948
89, 66, 0, 3671.7808658600134
92, 89, 0, 3671.825184746022
117, 92, 2, 3806.1138233294737
129, 117, 11, 5252.531225630163
133, 117, 0, 5252.99977200744
137, 133, 0, 5253.05148422958
156, 137, 14, 5281.390056997045
176, 156, 5, 5881.817034523168
