176, 156, 137, 133, 117, 92, 89, 66, 47, 40, 23, 5, 1, 
node, prevNode, creator, time
1, 0, 0, 0
5, 1, 3, 978.2490037947513
2, 1, 0, 978.6165174584252
23, 5, 5, 1464.8703759439938
35, 23, 6, 1962.5909546602381
40, 23, 0, 1963.0817728073184
47, 40, 0, 2294.5257860377606
66, 47, 6, 2989.3448306446935
81, 66, 9, 3671.0682153701737
89, 66, 0, 3671.764703603278
92, 89, 0, 3671.8794871961245
117, 92, 2, 3806.1607807619007
129, 117, 11, 5252.587695077647
133, 117, 0, 5252.9843085986595
137, 133, 0, 5253.099452731516
156, 137, 14, 5281.447839881669
176, 156, 5, 5881.874863613854
