node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.3766700316957229
4, 1, 2, 0.4906126983124447
51, 1, 49, 0.5565652178186037
27, 1, 25, 0.6694571953628136
95, 9, 16, 0.7339953353866611
99, 9, 18, 1.034298447728646
117, 95, 29, 1.0983146192961657
168, 117, 48, 1.407927526103692
231, 168, 13, 1.5883597404704213
195, 117, 15, 1.6013369789811267
251, 231, 29, 1.6162983045688957
248, 231, 6, 1.6865452154732987
293, 117, 36, 1.8967956370170134
388, 231, 1, 2.2638589863094976
380, 251, 18, 2.4033613629725963
434, 380, 13, 2.6867252285645695
420, 251, 54, 2.7237724895297384
432, 380, 28, 2.72715111348537
446, 434, 59, 3.6411600268116517
513, 434, 39, 3.821926875565928
584, 446, 49, 4.326289178702295
567, 446, 11, 4.442270391824696
603, 446, 5, 4.472036900333581
600, 446, 53, 4.488674251896604
606, 584, 48, 4.5316807791825395
546, 446, 59, 4.573029439025321
602, 446, 26, 4.582905439666944
672, 606, 33, 5.316403783802869
650, 606, 13, 5.333383616451691
724, 606, 4, 5.622300039421329
701, 606, 35, 5.735163443887718
