node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.8115942340143723
4, 1, 2, 0.9400629320199411
51, 1, 49, 0.9645025564219348
95, 9, 16, 1.0991566713369534
27, 1, 25, 1.1544586032941226
99, 9, 18, 1.5205971827929696
117, 95, 29, 1.581127520972519
168, 117, 48, 1.816447716527413
231, 168, 13, 1.9586812624433736
195, 117, 15, 2.0103023402669473
251, 231, 29, 2.1000200167765617
248, 231, 6, 2.1698649954857374
293, 117, 36, 2.2658383063897767
388, 231, 1, 2.607568160262095
380, 251, 18, 2.8852722602925938
432, 380, 28, 3.0398409406093623
420, 251, 54, 3.0574946615770973
434, 380, 13, 3.0732553853072204
446, 434, 59, 3.905881492168808
513, 434, 39, 4.248981831676393
567, 446, 11, 4.629881390412304
600, 446, 53, 4.720102237733965
584, 446, 49, 4.7278232100490385
603, 446, 5, 4.786252970491599
546, 446, 59, 4.803516887622551
602, 446, 26, 4.831372987427275
606, 584, 48, 4.936734084103854
650, 606, 13, 5.714523902398557
672, 606, 33, 5.721358192233184
724, 606, 4, 5.73325375068281
701, 606, 35, 5.924520697811228
