node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.6339782833528225
51, 1, 49, 0.7938075967394346
4, 1, 2, 0.8007087326942237
27, 1, 25, 0.9064696263734189
95, 9, 16, 1.028445652580007
99, 9, 18, 1.2779827480983175
117, 95, 29, 1.3358407478567198
168, 117, 48, 1.6436651308711812
195, 117, 15, 1.7404488979628832
231, 168, 13, 1.797826320732046
251, 231, 29, 1.8529602475258142
248, 231, 6, 1.961288934010405
293, 117, 36, 2.1622446131656123
388, 231, 1, 2.502495082353931
380, 251, 18, 2.6265927098105117
434, 380, 13, 2.9089964158633466
420, 251, 54, 2.961064467026917
432, 380, 28, 3.038202744174676
446, 434, 59, 3.8041335159204825
513, 434, 39, 3.9241009371317292
584, 446, 49, 4.582274208666437
546, 446, 59, 4.701457466138905
567, 446, 11, 4.753349002247392
606, 584, 48, 4.768591166930711
603, 446, 5, 4.784786718944507
600, 446, 53, 4.800009863733928
602, 446, 26, 4.864622305044325
650, 606, 13, 5.54742081837199
672, 606, 33, 5.6270154855355194
724, 606, 4, 5.818539541386182
