node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.829071016510314
4, 1, 2, 0.9813775039572995
27, 1, 25, 1.0010634344943905
51, 1, 49, 1.0319754080267631
95, 9, 16, 1.1282079908443232
99, 9, 18, 1.6073400573173935
117, 95, 29, 1.6510463102993664
168, 117, 48, 1.879196717400209
231, 168, 13, 1.9738078140375652
195, 117, 15, 2.066682632545421
251, 231, 29, 2.1657003224865354
293, 117, 36, 2.2129032256760386
248, 231, 6, 2.2344274727754896
388, 231, 1, 2.6275126309778094
380, 251, 18, 2.9455288548666223
420, 251, 54, 3.078389510634248
434, 380, 13, 3.094579038174635
432, 380, 28, 3.1093091584009356
446, 434, 59, 3.9226646226548887
513, 434, 39, 4.264297746964971
567, 446, 11, 4.653449417993931
600, 446, 53, 4.775768893892479
546, 446, 59, 4.829136110902532
584, 446, 49, 4.840867265542458
603, 446, 5, 4.854769320447163
602, 446, 26, 4.888838148719512
606, 584, 48, 5.008662155856023
650, 606, 13, 5.733198578684939
672, 606, 33, 5.766525694438907
701, 606, 35, 5.943920402698914
724, 606, 4, 5.953553447045524
