node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.5205838574671825
51, 1, 49, 0.7067415979671988
4, 1, 2, 0.721325944204207
27, 1, 25, 0.8932010520483487
95, 9, 16, 0.9577440256456432
99, 9, 18, 1.2598419990369805
117, 95, 29, 1.3216540447077798
168, 117, 48, 1.558233772548858
231, 168, 13, 1.7406722167252802
195, 117, 15, 1.7514907059587006
251, 231, 29, 1.8399208078848137
248, 231, 6, 1.9105408563978203
293, 117, 36, 2.121717994410403
388, 231, 1, 2.4139978621625926
380, 251, 18, 2.6275586912456883
434, 380, 13, 2.852450389984898
420, 251, 54, 2.8670555488511136
432, 380, 28, 2.8706633276968674
446, 434, 59, 3.821161587784343
513, 434, 39, 3.9746436515435466
584, 446, 49, 4.468765372606289
567, 446, 11, 4.585734205213287
602, 446, 26, 4.605813710552081
603, 446, 5, 4.616616020922862
600, 446, 53, 4.6337995748267655
606, 584, 48, 4.678143790465298
546, 446, 59, 4.72263489552709
672, 606, 33, 5.385749506918235
650, 606, 13, 5.493532108497132
724, 606, 4, 5.570388294385076
701, 606, 35, 5.882967947292671
