node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.4890126258953975
51, 1, 49, 0.7041147034326665
4, 1, 2, 0.7652478610635993
27, 1, 25, 0.9619275431445905
95, 9, 16, 1.0695615368847404
99, 9, 18, 1.304685865601651
117, 95, 29, 1.4318721291763572
168, 117, 48, 1.6115448264802883
195, 117, 15, 1.6130944408622079
231, 168, 13, 1.8495294809272864
251, 231, 29, 1.9221050955151966
248, 231, 6, 2.021566412614285
293, 117, 36, 2.2319963331663852
388, 231, 1, 2.484058657620942
380, 251, 18, 2.6526247354233634
420, 251, 54, 2.838690187953235
434, 380, 13, 2.96043157474662
432, 380, 28, 2.980951693281715
513, 434, 39, 3.8101999590429902
446, 434, 59, 3.8911967608386204
584, 446, 49, 4.555452736502206
567, 446, 11, 4.695627320746365
602, 446, 26, 4.7166583767617825
603, 446, 5, 4.718346891361648
600, 446, 53, 4.745646055481008
606, 584, 48, 4.7697710802541
546, 446, 59, 4.785361648266355
672, 606, 33, 5.496514700210451
650, 606, 13, 5.56596298126195
724, 606, 4, 5.680332779060252
