node, prevNode, creator, time
1, 0, 0, 0
9, 1, 7, 0.32615255051908043
51, 1, 49, 0.6176179166066805
4, 1, 2, 0.6796541467160288
27, 1, 25, 0.8259105259072405
95, 9, 16, 0.8908829575491585
99, 9, 18, 1.1578076556293635
117, 95, 29, 1.2520857565740304
168, 117, 48, 1.4678381688904225
231, 168, 13, 1.4753572892988338
195, 117, 15, 1.6628877396239
251, 231, 29, 1.7695441262630207
248, 231, 6, 1.813224951341609
293, 117, 36, 1.9163927409425563
388, 231, 1, 2.323728986361895
380, 251, 18, 2.5057239255973007
434, 380, 13, 2.5883109760290886
420, 251, 54, 2.8339539112067325
432, 380, 28, 2.8822864168963416
446, 434, 59, 3.5579304997954857
513, 434, 39, 3.9704409684401964
584, 446, 49, 4.40460548440285
546, 446, 59, 4.4568416131844755
606, 584, 48, 4.5872980705378135
567, 446, 11, 4.596147943296832
603, 446, 5, 4.6271166908543435
600, 446, 53, 4.643816462836542
602, 446, 26, 4.737097782802907
650, 606, 13, 5.22792229553334
672, 606, 33, 5.469631973518374
724, 606, 4, 5.695670465353042
701, 606, 35, 5.892047556850036
